,adview,views,likes,dislikes,comment,published,dur_sec,category_A,category_B,category_C,category_D,category_E,category_G,category_H
0,40,1031602.0,8523.0,363.0,1095.0,2016-09-14,457,0,0,0,0,0,0,0
1,2,1707.0,56.0,2.0,6.0,2016-10-01,570,0,0,0,1,0,0,0
2,1,2023.0,25.0,0.0,2.0,2016-07-02,136,0,0,1,0,0,0,0
3,6,620860.0,777.0,161.0,153.0,2016-07-27,262,0,0,0,0,0,0,1
4,1,666.0,1.0,0.0,0.0,2016-06-29,31,0,0,0,1,0,0,0
5,4,78.0,0.0,0.0,0.0,2016-05-09,15,0,0,0,1,0,0,0
6,40621,43118.0,15.0,1.0,0.0,2015-08-21,200,0,0,0,1,0,0,0
7,1,14205.0,55.0,16.0,1.0,2016-08-01,58,0,0,0,0,1,0,0
8,1,526015.0,3064.0,211.0,2582.0,2015-11-06,1670,0,0,0,0,0,0,0
9,1,406992.0,3831.0,310.0,7839.0,2016-10-03,679,0,1,0,0,0,0,0
10,19,607447.0,377.0,144.0,65.0,2016-08-08,745,0,0,0,1,0,0,0
11,9,429137.0,2181.0,76.0,172.0,2015-12-26,228,0,1,0,0,0,0,0
12,224,1895.0,59.0,5.0,0.0,2016-08-14,254,0,1,0,0,0,0,0
13,1,59843.0,68.0,16.0,10.0,2016-02-07,8608,0,0,0,1,0,0,0
14,2,211642.0,1378.0,65.0,103.0,2015-04-03,170,0,0,0,0,0,0,0
15,1,3700.0,29.0,6.0,3.0,2013-09-25,37,0,1,0,0,0,0,0
16,2,2303.0,4.0,0.0,0.0,2010-10-02,26,0,0,0,0,0,1,0
17,4794,5886.0,23.0,0.0,4.0,2016-11-04,312,0,0,0,1,0,0,0
18,107,9477.0,66.0,0.0,0.0,2015-06-22,22,0,0,0,0,0,1,0
19,53702,115426.0,83.0,10.0,2.0,2015-09-11,196,0,0,0,0,0,1,0
20,2,62255.0,71.0,10.0,1.0,2015-06-01,761,0,0,0,1,0,0,0
21,1,15353.0,13.0,6.0,9.0,2016-08-03,101,0,0,0,1,0,0,0
22,1,236589.0,1730.0,38.0,140.0,2015-08-20,325,0,0,0,1,0,0,0
23,2,94719.0,192.0,11.0,23.0,2016-08-01,41,0,0,0,1,0,0,0
24,14,3089826.0,7493.0,1148.0,330.0,2016-04-22,798,0,0,0,1,0,0,0
25,3,2046444.0,3910.0,845.0,247.0,2015-12-15,362,0,0,0,0,0,1,0
26,3,2103487.0,13342.0,734.0,650.0,2014-08-01,659,0,1,0,0,0,0,0
27,3,740683.0,935.0,68.0,57.0,2013-09-17,98,0,0,0,1,0,0,0
28,1,805979.0,2036.0,183.0,215.0,2015-03-23,131,0,1,0,0,0,0,0
29,1,229495.0,372.0,50.0,44.0,2014-05-30,8552,0,0,0,1,0,0,0
30,1,2758.0,2.0,0.0,1.0,2013-10-15,167,0,0,0,1,0,0,0
31,1,24672.0,313.0,10.0,128.0,2013-09-23,665,0,0,0,1,0,0,0
32,2,2000406.0,14974.0,686.0,1297.0,2016-02-27,537,0,0,0,1,0,0,0
33,4,163161.0,617.0,25.0,51.0,2016-06-24,228,0,0,0,0,1,0,0
34,6,422797.0,1226.0,122.0,117.0,2016-08-12,803,0,0,0,1,0,0,0
35,1,157479.0,944.0,40.0,52.0,2015-04-04,69,0,1,0,0,0,0,0
36,1,109.0,0.0,1.0,0.0,2014-05-01,473,0,0,0,1,0,0,0
37,53,3258674.0,9193.0,290.0,823.0,2015-07-07,4226,0,0,0,0,0,1,0
38,2,17128.0,33.0,4.0,4.0,2011-09-24,99,0,0,0,0,0,0,0
39,1,136151.0,155.0,13.0,14.0,2016-08-08,629,0,0,0,1,0,0,0
40,1,1034.0,5.0,0.0,0.0,2016-03-01,261,1,0,0,0,0,0,0
41,1,513871.0,743.0,214.0,45.0,2015-06-17,676,0,0,0,1,0,0,0
42,4,178089.0,1259.0,24.0,124.0,2016-06-10,823,0,0,0,0,1,0,0
43,17,553420.0,818.0,167.0,59.0,2013-09-16,3457,0,0,0,1,0,0,0
44,2,623004.0,531.0,182.0,76.0,2013-03-06,75,0,0,0,1,0,0,0
45,1,172599.0,162.0,61.0,35.0,2015-05-11,5549,0,0,0,0,1,0,0
46,1,793069.0,2638.0,163.0,135.0,2015-07-11,866,0,0,0,0,0,1,0
47,4,462.0,1.0,0.0,0.0,2016-09-20,31,0,0,0,1,0,0,0
48,1,15882.0,102.0,1.0,41.0,2010-12-22,806,0,0,0,1,0,0,0
49,1,797861.0,2117.0,225.0,170.0,2015-08-02,1704,0,0,0,1,0,0,0
50,1,5503.0,6.0,2.0,1.0,2013-06-17,246,0,0,0,0,0,1,0
51,1,19213.0,78.0,5.0,0.0,2016-09-02,148,0,0,0,1,0,0,0
52,4,165497.0,215.0,62.0,153.0,2013-01-19,2315,0,0,0,1,0,0,0
53,1,212195.0,561.0,61.0,192.0,2016-05-20,622,0,0,0,1,0,0,0
54,4,805.0,6.0,0.0,0.0,2016-06-04,20,0,0,0,1,0,0,0
55,5,89443.0,84.0,26.0,4.0,2014-04-21,713,0,0,0,1,0,0,0
56,2,56573.0,228.0,5.0,16.0,2013-09-07,153,0,0,0,0,0,1,0
57,61,367301.0,204.0,80.0,4.0,2014-12-13,328,0,0,0,1,0,0,0
58,1619,1389401.0,13224.0,831.0,522.0,2013-10-17,136,0,0,0,0,0,0,0
